ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInYear,publishedInPage,remarks
737,738,Gorgopis limbopunctata,"(Gaede, 1930)",species,,Gorgopis,,limbopunctata,,established,488,1930,557,
738,738,Dalaca limbopunctata,"Gaede, 1930",species,,Dalaca,,limbopunctata,,established,488,1930,557,
739,739,Gorgopis lobata,"Janse, 1942",species,,Gorgopis,,lobata,,established,756,1942,58,
740,740,Gorgopis olivaceonotata,"Warren, 1914",species,,Gorgopis,,olivaceonotata,,established,1676,1914,506,
741,741,Gorgopis pallidiflava,"Janse, 1942",species,,Gorgopis,,pallidiflava,,established,756,1942,60,
742,742,Gorgopis petersburgensis,"Mey, 2019",species,,Gorgopis,,petersburgensis,,established,1019,2019,42,
743,743,Gorgopis pholidota,"Meyrick, 1921",species,,Gorgopis,,pholidota,,established,1025,1921,141,
744,745,Gorgopis ptiloscelis,"(Meyrick, 1919)",species,,Gorgopis,,ptiloscelis,,established,1023,1919,230,
745,745,Hepialus ptiloscelis,"Meyrick, 1919",species,,Hepialus,,ptiloscelis,,established,1023,1919,230,
746,746,Gorgopis salti,"Tams, 1952",species,,Gorgopis,,salti,,established,1481,1952,869,
747,747,Gorgopis serangota,"Janse, 1942",species,,Gorgopis,,serangota,,established,756,1942,62,
748,748,Gorgopis subrimosa,"Janse, 1942",species,,Gorgopis,,subrimosa,,established,756,1942,63,
749,749,Gorgopis tanganyikaensis,"Viette, 1950",species,,Gorgopis,,tanganyikaensis,,established,1607,1950,205,
750,750,Gorgopis viljoenorum,"Mey, 2019",species,,Gorgopis,,viljoenorum,,established,1019,2019,42,
751,751,Gorgopis zellerii,"Dewitz, 1881",species,,Gorgopis,,zellerii,,established,300,1881,64,
752,752,Gorgopis zelleri,"Gaede, 1930",species,,Gorgopis,,zelleri,,not established,488,1930,558,Misspelling
753,753,Gymelloxes,"Viette, 1952",genus,Gymelloxes,,,,,established,1613,1952,27,
754,755,Gymelloxes costaricensis,"(Druce, 1887)",species,,Gymelloxes,,costaricensis,,established,322,1887,234,
755,755,Phassus costaricensis,"Druce, 1887",species,,Phassus,,costaricensis,,established,322,1887,234,
756,756,Gymelloxes juliusboosi,"C. Mielke, Grehan & Cock, 2020",species,,Gymelloxes,,juliusboosi,,established,1040,2020,187,
757,758,Gymelloxes prosopus,"(Druce, 1901)",species,,Gymelloxes,,prosopus,,established,326,1901,436,
758,758,Hepialus prosopus,"Druce, 1901",species,,Hepialus,,prosopus,,established,326,1901,436,
759,759,Hepialus proposus,"Wagner & Pfitzner, 1911",species,,Hepialus,,proposus,,not established,1643,1911,9,Misspelling
760,760,Dalaca chiriquensis,"Pfitzner, 1914",species,,Dalaca,,chiriquensis,,established,1196,1914,105,
761,761,Dalaca muysca,"Pfitzner, 1914",species,,Dalaca,,muysca,,established,1196,1914,105,
762,763,Gymelloxes terea,"(Schaus, 1892)",species,,Gymelloxes,,terea,,established,1335,1892,330,
763,763,Dalaca terea,"Schaus, 1892",species,,Dalaca,,terea,,established,1335,1892,330,
764,765,Gymelloxes trilinearis,"(Pfitzner, 1914)",species,,Gymelloxes,,trilinearis,,established,1196,1914,105,
765,765,Dalaca trilinearis,"Pfitzner, 1914",species,,Dalaca,,trilinearis,,established,1196,1914,105,
766,766,Dalaca vibicata,"Pfitzner, 1914",species,,Dalaca,,vibicata,,established,1196,1914,105,"The full COI gene sequence of the holotype places D. vibicata Pfitzner, 1914 among not only members of Gymelloxes Viette, 1952, but it has a 100% match with the holotype of D. trilinearis Pfitzner, 1914 with which it shares a near identical wing pattern (Plate 8). Since both taxa were described in the same work and on the same page, we have chosen D. trilinearis as the senior synonym as it was already placed within Gymelloxes."
767,767,Dalaca trilinearides,"Pfitzner, 1937",species,,Dalaca,,trilinearides,,not established,1198,1937,1294,Misspelling
768,768,Hampsoniella,"Viette, 1950",genus,Hampsoniella,,,,,established,1600,1950,74,
769,770,Hampsoniella assa,"(Druce, 1887)",species,,Hampsoniella,,assa,,established,322,1887,232,
770,770,Dalaca assa,"Druce, 1887",species,,Dalaca,,assa,,established,322,1887,232,
771,772,Hampsoniella equatorialis,"(Viette, 1950)",species,,Hampsoniella,,equatorialis,,established,1600,1950,77,
772,772,Aepytus equatorialis,"Viette, 1950",species,,Aepytus,,equatorialis,,established,1600,1950,77,
773,773,Heloxycanus,"Dugdale, 1994",genus,Heloxycanus,,,,,established,337,1994,59,
774,774,Heloxycanus patricki,"Dugdale, 1994",species,,Heloxycanus,,patricki,,established,337,1994,60,
775,775,Hepialiscus,"Hampson, [1893]",genus,Hepialiscus,,,,,established,631,1893,317,
776,776,Hepialiscus htayaungi,"C. Mielke & Grehan, 2016",species,,Hepialiscus,,htayaungi,,established,1037,2016,134,
777,777,Hepialiscus jiangbeiensis,"Chu & Wang, 2004",species,,Hepialiscus,,jiangbeiensis,,established,1782,2004,175,
778,779,Hepialiscus ledongensis,"(Chu & Wang, 2004)",species,,Hepialiscus,,ledongensis,,established,1782,2004,177,
779,779,Hepialus ledongensis,"Chu & Wang, 2004",species,,Hepialus,,ledongensis,,established,1782,2004,177,
780,780,Hepialiscus monticola,"Ueda, 1988",species,,Hepialiscus,,monticola,,established,1559,1988,49,
781,782,Hepialiscus nepalensis,"(Walker, 1856)",species,,Hepialiscus,,nepalensis,,established,1645,1856,1557,
782,782,Hepialus nepalensis,"Walker, 1856",species,,Hepialus,,nepalensis,,established,1645,1856,1557,
783,783,Hepialus indicus,"Walker, 1856",species,,Hepialus,,indicus,,established,1645,1856,1558,
784,784,Hepialus pauperatus,"Walker, 1865",species,,Hepialus,,pauperatus,,established,1646,1865,593,
785,785,Hepialus marcidus,"Butler, 1880",species,,Hepialus,,marcidus,,established,163,1880,69,
786,786,Hepialiscus flavus,"Chu & Wang, 1985",species,,Hepialiscus,,flavus,,established,206,1985,129 ,
787,787,Hepialiscus robinsoni,"Ueda, 1988",species,,Hepialiscus,,robinsoni,,established,1559,1988,44,
788,788,Hepialiscus taiwanus,"Ueda, 1988",species,,Hepialiscus,,taiwanus,,established,1559,1988,47,
789,789,Hepialus,"Fabricius, 1775",genus,Hepialus,,,,,established,402,1775,589,
790,790,Trepialus,"Latreille, [1805]",genus,Trepialus,,,,,not established,860,[1805],174,Misspelling
791,791,Epialus,"Agassiz, 1847",genus,Epialus,,,,,established,7,1847,140,"Unjustified emendation; Agassiz (1847) listed the name as follows: ''*Epialus – (V. Hepialus Fabr.) Lep'' [V. = ''see''] [Epialus, see Hepialus of Fabricius]. Agassiz (1847: 178) wrote: ''°Hepialus Fabr. Lep 1776 (Scr. Epialus)'' [Scr. = ""scripsit"" or ""scrivere""] [Hepialus spelled as Epialus]. This is an unjustified emendation because it does not involve the correction of an inadvertent error [Art. 32.5.1] emd. Epiolus [sic] Agassiz, 1847: 141; emendation (Nielsen et al. 2000: 849), unjustified. Agassiz (1847: 141) listed the name as follows: ''*Epiolus – (V. Hepiolus Ill.) Lep'' [Epiolus, see Hepiolus of Illiger]. Agassiz (1847: 178) wrote: ''°Hepiolus Ill. Lep. 1801. (Scr. Epiolus)'' [Hepiolus spelled as Epiolus]. This is an emendation of an emendation (by Illiger), but unjustified because it does not involve the correction of an inadvertent error, [Art. 32.5.1]"
792,793,Hepialus humuli,"(Linnaeus, 1758)",species,,Hepialus,,humuli,,established,916,1758,508,
793,793,Phalaena (Noctua) humuli,"Linnaeus, 1758",species,,Phalaena,Noctua,humuli,,established,916,1758,508,
794,794,Hepialus humuli thulensis,"Newman, 1865",subspecies,,Hepialus,,humuli,thulensis,established,1104,1865,162,
795,795,Hepialus humuli f. hethlandica,"Staudinger, 1871",form,,Hepialus,,humuli,hethlandica,established,1429,1871,60,
796,796,Hepialus humuli ab. rosea,"Petersen, 1902",aberration,,Hepialus,,humuli,rosea,established,1187,1902,"167 [306, 1924 ed.]","“Eine hübsche Aberration des ♀ mit rosenroten hindwing besitze ich in mehreren Exemplaren aus Reval und Wp.: ab. Female rosea, alis posticis roseotinctis. Teich fand in Kemmern ebenfalls ein ♀ mit “fast rosenroten” hindiwings.” [I own a pretty aberration of the ♀ with rose-coloured hindwing in several specimens from Reval and Wp.: ab. Female rosea, alis posticis roseotinctis. Teich also found a ♀ with “almost rose-red” hindwings in Kemmern] (Peterson 1902: 167)"
797,797,Hepialus humuli ab. albida,"Spuler, 1910",aberration,,Hepialus,,humuli,albida,established,1415,1910,484,
798,798,Hepialus humuli f. hulea,"Spuler, 1910",form,,Hepialus,,humuli,hulea,established,1415,1910,485,
799,799,Hepialus humuli f. azuga,"Pfitzner, 1912",form,,Hepialus,,humuli,azuga,established,1195,1912,434,
800,800,Hepialus humuli f. grandis,"Pfitzner, 1912",form,,Hepialus,,humuli,grandis,established,1195,1912,434,
801,801,Hepialus humuli ab. dannenbergi,"Stephan, 1923",aberration,,Hepialus,,humuli,dannenbergi,established,1435,1923,46,
802,802,Hepialus humuli ab. pusillus,"Stephan, 1923",aberration,,Hepialus,,humuli,pusillus,established,1435,1923,46,
803,803,Hepialus humuli var. rufomaculata,"Lempke, 1938",variety,,Hepialus,,humuli,rufomaculata,established,877,1938,303,
804,804,Hepialus humuli ab. roseoornata,"Bytinski-Salz, 1939",aberration,,Hepialus,,humuli,roseoornata,established,166,1939,81,
805,805,Hepialus humuli f. albida,"Bytinski-Salz, 1939",form,,Hepialus,,humuli,albida,established,166,1939,82,
806,806,Hepialus humuli f. uniformis,"Bytinski-Salz, 1939",form,,Hepialus,,humuli,uniformis,established,166,1939,82,
807,807,Hepialus humuli f. faeroensis,"Dahl, 1954",form,,Hepialus,,humuli,faeroensis,established,263,1954,134,
808,808,Hepialus humuli ab. fumosa,"Cockayne, 1955",aberration,,Hepialus,,humuli,fumosa,established,227,1955,5,
809,809,Hepialus humuli ab. radiata,"Cockayne, 1955",aberration,,Hepialus,,humuli,radiata,established,227,1955,5,
810,810,Hepialus humuli f. postnigrescens,"Lempke, 1961",form,,Hepialus,,humuli,postnigrescens,established,878,1961,180,
811,811,Hepialus humuli f. postrufescens,"Lempke, 1961",form,,Hepialus,,humuli,postrufescens,established,878,1961,180,
812,812,Hepialus humuli f. griseomaculata,"Van Wisselingh, 1965",form,,Hepialus,,humuli,griseomaculata,established,1580,1965,146,
813,813,Hepialyxodes,"Viette, 1951",genus,Hepialyxodes,,,,,established,1612,1951,1278,
814,814,Hepialyxodes rileyi,"Viette, 1951",species,,Hepialyxodes,,rileyi,,established,1612,1951,1279,
815,815,Huebneriella,"C. Mielke & Grehan, 2019",genus,Huebneriella,,,,,established,1039,2019,56,
816,816,Huebneriella rosanti,"C. Mielke & Grehan, 2019",species,,Huebneriella,,rosanti,,established,1039,2019,57,
817,817,Jeana,"Tindale, 1935",genus,Jeana,,,,,established,1507,1935,279,
818,818,Jeana delicatula,"Tindale, 1935",species,,Jeana,,delicatula,,established,1507,1935,280,
819,819,Jeana robiginosa,"A. Turner, 1939",species,,Jeana,,robiginosa,,established,1543,1939,105,
820,820,Jeana rubiginosa,"Turner, 1939",species,,Jeana,,rubiginosa,,not established,1543,1939,105,Misspelling
821,821,Jeana timetea,"Turner, 1939",species,,Jeana,,timetea,,established,1543,1939,104 ,
822,822,Korscheltellus,"Börner, 1920",genus,Korscheltellus,,,,,established,136,1920,395,
823,824,Korscheltellus castillanus,"(Oberthür, 1883)",species,,Korscheltellus,,castillanus,,established,1122,1883,13,
824,824,Hepialus castillanus,"Oberthür, 1883",species,,Hepialus,,castillanus,,established,1122,1883,13,
825,826,Korscheltellus fusconebulosa,"(De Geer, 1778)",species,,Korscheltellus,,fusconebulosa,,established,283,1778,598,
826,826,Phalaena fusconebulosa,"De Geer, 1778",species,,Phalaena,,fusconebulosa,,established,283,1778,598,
827,827,Phalaena mappa,"Donovan, 1801",species,,Phalaena,,mappa,,established,315,1801,95,
828,828,Bombyx velleda,"Hübner, [1808]",species,,Bombyx,,velleda,,established,720,[1808],153,
829,829,Hepialus velleda f. gallicus,"Lederer, 1852",form,,Hepialus,,velleda,gallicus,established,870,1852,106,
830,830,Hepialus askoldensis,"Staudinger, 1887",species,,Hepialus,,askoldensis,,established,1423,1887,193,
831,831,Hepialus askoldensis f. minor,"Staudinger, 1887",form,,Hepialus,,askoldensis,minor,established,1423,1887,194,
832,832,Korscheltellus gallica,"Pfitzner, 1912",species,,Korscheltellus,,gallica,,not established,1195,1912,pl. 54d,Misspelling
833,833,Hepialus hyperboreus,"Valle, 1931",species,,Hepialus,,hyperboreus,,established,1573,1931,286,
834,834,Hepialus vallei,"Grönblom, 1936",species,,Hepialus,,vallei,,established,606,1936,43,
835,835,Hepialus okninskyi,"Ermolajev, 1937",species,,Hepialus,,okninskyi,,established,385,1937,219,
836,836,Hepialus fusconebulosus ab. latefasciatus,"Bytinski-Salz, 1939",aberration,,Hepialus,,fusconebulosus,latefasciatus,established,166,1939,83,
837,837,Hepialus fusconebulosus ab. ornatus,"Bytinski-Salz, 1939",aberration,,Hepialus,,fusconebulosus,ornatus,established,166,1939,83,
838,838,Korscheltellus fusconebulosus f. centralis,"Viette, 1959",form,,Korscheltellus,,fusconebulosus,centralis,established,1622,1959,99 ,
839,839,Korscheltellus fusconebulosus f. pyreneensis,"Viette, 1959",form,,Korscheltellus,,fusconebulosus,pyreneensis,established,1622,1959,99 ,
840,840,Korscheltellus fusconebulosus f. shetlandicus,"Viette, 1959",form,,Korscheltellus,,fusconebulosus,shetlandicus,established,1622,1959,97 ,
841,841,Korscheltellus fusconebulosus f. vosgesiacus,"Viette, 1959",form,,Korscheltellus,,fusconebulosus,vosgesiacus,established,1622,1959,100 ,
842,843,Korscheltellus gracilis,"(Grote, [1865])",species,,Korscheltellus,,gracilis,,established,609,1865,522,
843,843,Hepialus gracilis,"Grote, [1865]",species,,Hepialus,,gracilis,,established,609,1865,522,
844,844,Hepialus mustelinus,"Packard, 1865",species,,Hepialus,,mustelinus,,established,1150,1865,393,
845,845,Hepialus labradoriensis,"Packard, 1865",species,,Hepialus,,labradoriensis,,established,1150,1865,394,
846,846,Hepialus furcatus,"Grote, 1883",species,,Hepialus,,furcatus,,established,612,1883,30,
847,848,Korscheltellus lupulina,"(Linnaeus, 1758)",species,,Korscheltellus,,lupulina,,established,916,1758,508,
848,848,Phalaena (Noctua) lupulina,"Linnaeus, 1758",species,,Phalaena,Noctua,lupulina,,established,916,1758,508,
849,849,Hepialus serraticornis,"Gmelin, [1790]",species,,Hepialus,,serraticornis,,established,515,[1790],2617,
850,850,Hepialus obliquus,"Fabricius, 1794",species,,Hepialus,,obliquus,,established,405,1794,6,
851,851,Hepialus cora,"Schrank, 1801",species,,Hepialus,,cora,,established,1348,1801,304,
852,852,Bombyx flina,"Hübner, [1808]",species,,Bombyx,,flina,,established,720,[1808],153,
853,853,Hepialus fuscus,"Haworth, 1811",species,,Hepialus,,fuscus,,established,663,1811,141,
854,854,Psilothrix incerta,"Millière, 1886",species,,Psilothrix,,incerta,,established,1050,1886,53,
855,855,Hepialus lupulinus f. dacicus,"Caradja, 1893",form,,Hepialus,,lupulinus,dacicus,established,171,1893,44,
856,856,Hepialus dacica,"Spuler, 1910",species,,Hepialus,,dacica,,not established,1415,1910,485,Misspelling
857,857,Hepialus lupulinus ab. intermedia,"Spuler, 1910",aberration,,Hepialus,,lupulinus,intermedia,established,1415,1910,486,
858,858,Hepialus lupulinus ab. unicolor,"Spuler, 1910",aberration,,Hepialus,,lupulinus,unicolor,established,1415,1910,486,
859,859,Hepialus lupulinus ab. senex,"Pfitzner, 1912",aberration,,Hepialus,,lupulinus,senex,established,1195,1912,436,
860,860,Hepialus lupulinus ab. latemarginatus,"Bytinski-Salz, 1939",aberration,,Hepialus,,lupulinus,latemarginatus,established,166,1939,84,
861,861,Hepialus lupulinus ab. albomarginata,"Cockayne, 1955",aberration,,Hepialus,,lupulinus,albomarginata,established,227,1955,5,
862,862,Hepialus lupulinus ab. nigrescens,"Cockayne, 1955",aberration,,Hepialus,,lupulinus,nigrescens,established,227,1955,5,
863,863,Hepialus lupulinus f. fuscata,"Van de Pol, 1961",form,,Hepialus,,lupulinus,fuscata,established,1576,1961,36,
864,864,Hepialus lupulinus f. obscura,"Van de Pol, 1961",form,,Hepialus,,lupulinus,obscura,established,1576,1961,36,
865,865,Hepialus lupulinus f. continuata,"Van de Pol, 1961",form,,Hepialus,,lupulinus,continuata,established,1576,1961,36,
866,866,Hepialus lupulinus f. reducta,"Van de Pol, 1961",form,,Hepialus,,lupulinus,reducta,established,1576,1961,36,
867,867,Hepialus lupulinus f. pauper,"Van de Pol, 1961",form,,Hepialus,,lupulinus,pauper,established,1576,1961,36,
868,868,Hepialus lupulinus f. maculata,"Van de Pol, 1961",form,,Hepialus,,lupulinus,maculata,established,1576,1961,36,
869,869,Hepialus lupulinus f. variegata,"Van de Pol, 1961",form,,Hepialus,,lupulinus,variegata,established,1576,1961,37,
870,870,Korscheltellus lupulinus f. pallida,"Lempke, 1961",form,,Korscheltellus,,lupulinus,pallida,established,878,1961,183 ,
871,871,Korscheltellus lupulinus f. anteradiata,"Lempke, 1961",form,,Korscheltellus,,lupulinus,anteradiata,established,878,1961,183 ,
872,872,Korscheltellus lupulini espanoli,"Pérez De-Gregorio, 1981",subspecies,,Korscheltellus,,lupulini,espanoli,established,1180,1981,56 ,
873,873,Kozloviella,"Grehan & C. Mielke, 2018",genus,Kozloviella,,,,,established,572,2018,3,
874,874,Kozloviella viazmenskyi,"Grehan & C. Mielke, 2018",species,,Kozloviella,,viazmenskyi,,established,572,2018,4,
875,875,Leto,"Hübner, [1820]",genus,Leto,,,,,established,721,1820,197,
876,876,Ecto,"Pagenstecher, 1909",genus,Ecto,,,,,not established,1161,1909,448,Misspelling
877,878,Leto venus,"(Cramer, 1780)",species,,Leto,,venus,,established,248,1780,167,
878,878,Phalaena venus,"Cramer, 1780",species,,Phalaena,,venus,,established,248,1780,167,
879,879,Limyra,"C. Mielke, Dell'Erba & Duarte, 2017",genus,Limyra,,,,,established,1033,2017,585,
880,880,Limyra silvai,"C. Mielke, Dell'Erba & Duarte, 2017",species,,Limyra,,silvai,,established,1033,2017,"585, 588",
881,881,Magnificus,"Yan, 2000",genus,Magnificus,,,,,established,1727,2000,1,
882,883,Magnificus bouvieri,"(Oberthür, 1913)",species,,Magnificus,,bouvieri,,established,1126,1913,671,
883,883,Hepialus bouvieri,"Oberthür, 1913",species,,Hepialus,,bouvieri,,established,1126,1913,671,
884,885,Magnificus dirschi,"(Bang-Haas, 1939)",species,,Magnificus,,dirschi,,established,59,1939,59,
885,885,Phassus dirschi,"Bang-Haas, 1939",species,,Phassus,,dirschi,,established,59,1939,59,
886,886,Phassus diershi,"Bang-Haas, 1939",species,,Phassus,,diershi,,not established,59,1939,"pl. 1, fig. 14",Misspelling
887,887,Magnificus jiuzhiensis,"Yan, 2000",species,,Magnificus,,jiuzhiensis,,established,1727,2000,"1, 3",
888,889,Magnificus miniatus,"(Chu & Wang, 1985)",species,,Magnificus,,miniatus,,established,207,1985,299,
889,889,Phassus miniatus,"Chu & Wang, 1985",species,,Phassus,,miniatus,,established,207,1985,299,
890,891,Magnificus regius,"(Staudinger, 1896)",species,,Magnificus,,regius,,established,1425,1896,301,
891,891,Hepialus regius,"Staudinger, 1896",species,,Hepialus,,regius,,established,1425,1896,301,
892,892,Hepialus regius rubellus,"Bang-Haas, 1939",subspecies,,Hepialus,,regius,rubellus,established,59,1939,58,
893,894,Magnificus roseus,"(Oberthür, 1911)",species,,Magnificus,,roseus,,established,1125,1911,325,
894,894,Hepialus roseus,"Oberthür, 1911",species,,Hepialus,,roseus,,established,1125,1911,325,
895,895,Magnificus zhiduoensis,"Yan, 2000",species,,Magnificus,,zhiduoensis,,established,1727,2000,3,
896,896,Metahepialus,"Janse, 1942",genus,Metahepialus,,,,,established,756,1942,39,
897,898,Metahepialus plurimaculata,"(Warren, 1914)",species,,Metahepialus,,plurimaculata,,established,1676,1914,507,
898,898,Gorgopis plurimaculata,"Warren, 1914",species,,Gorgopis,,plurimaculata,,established,1676,1914,507,
899,900,Metahepialus xenoctenis,"(Meyrick, 1926)",species,,Metahepialus,,xenoctenis,,established,1026,1926,351,
