ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInPage,remarks
864,863,Heterosphecia bantanakai,"(Arita & Gorbunov, 2000)",species,,Heterosphecia,,bantanakai,,,Arita_Gorbunov_2000b,56,synonymized by Skowron Volponi (2022)
865,865,Heterosphecia indica,"Kallies, 2003",species,,Heterosphecia,,indica,,,Kallies_2003a,35,
866,867,Heterosphecia melissoides,"(Hampson, [1893])",species,,Heterosphecia,,melissoides,,,Hampson_1893a,201,
867,867,Aschistophleps melissoides,"Hampson, [1893]",species,,Aschistophleps,,melissoides,,,Hampson_1893a,201,
868,868,Heterosphecia myticus,"Le Cerf, 1916",species,,Heterosphecia,,myticus,,,Le_Cerf_1916b,9,
869,869,Thamnoscelis inclemens,"Meyrick, 1928",species,,Thamnoscelis,,inclemens,,,Meyrick_1928,466,
870,869,Heterosphecia inclemens,"(Meyrick, 1928)",species,,Heterosphecia,,inclemens,,,Meyrick_1928,466,
871,871,Heterosphecia robinsoni,"Kallies, 2003",species,,Heterosphecia,,robinsoni,,,Kallies_2003a,35,
872,873,Heterosphecia soljanikovi,"(Gorbunov, 1988)",species,,Heterosphecia,,soljanikovi,,,Gorbunov_1988a,193,
873,873,Vietomelittia soljanikovi,"Gorbunov, 1988",species,,Vietomelittia,,soljanikovi,,,Gorbunov_1988a,193,
874,874,Heterosphecia tawonoides,"Kallies, 2003",species,,Heterosphecia,,tawonoides,,,Kallies_2003a,37,
875,875,Melanosphecia,"Le Cerf, 1916",genus,Melanosphecia,,,,,,Le_Cerf_1916b,10,
876,877,Melanosphecia ambigua,"(Snellen, 1900)",species,,Melanosphecia,,ambigua,,,Snellen_1900,36,transferred to Pseudosesia by Kallies (2020); resurrected from synonymy with Pseudosesia pulchripennis by Kallies (2020)
877,877,Melittia ambigua,"Snellen, 1900",species,,Melittia,,ambigua,,,Snellen_1900,36,transferred to Pseudosesia by Kallies (2020); resurrected from synonymy with Pseudosesia pulchripennis by Kallies (2020)
878,878,Melittia auricollis,"Rothschild, 1912",species,,Melittia,,auricollis,,,Rothschild_1912,123,synonymized by Kallies (2020)
879,878,Melanosphecia auricollis,"(Rothschild, 1912)",species,,Melanosphecia,,auricollis,,,Rothschild_1912,123,synonymized by Kallies (2020)
880,880,Melanosphecia bouvieri,"Le Cerf, 1917",species,,Melanosphecia,,bouvieri,,,Le_Cerf_1917,247,synonymized by Kallies (2020)
881,882,Melanosphecia funebris,"(Rothschild, 1911)",species,,Melanosphecia,,funebris,,,Rothschild_1911,46,
882,882,Melittia funebris,"Rothschild, 1911",species,,Melittia,,funebris,,,Rothschild_1911,46,
883,883,Melanosphecia paolo,"Skowron Volponi, 2019",species,,Melanosphecia,,paolo,,,Skowron_Volponi_2019,296,
884,884,Melanosphecia atra,"Le Cerf, 1916",species,,Melanosphecia,,atra,,,Le_Cerf_1916b,10,
885,885,Melanosphecia dohertyi,"Hampson, 1919",species,,Melanosphecia,,dohertyi,,,Hampson_1919,96,
886,886,Aurantiosphecia,"Skowron Volponi, 2020",genus,Aurantiosphecia,,,,,,Skowron_Volponi_2020,2,
887,887,Aurantiosphecia metachryseis,"Hampson, 1895",species,,Aurantiosphecia,,metachryseis,,,Hampson_1895,"282,",transferred to Aurantiosphecia by Skowron Volponi (2020)
888,888,Aschistophleps metachryseis,"Hampson, 1895",species,,Aschistophleps,,metachryseis,,,Hampson_1895,"282,",transferred to Aurantiosphecia by Skowron Volponi (2020)
889,889,Aurantiosphecia murzini,"Gorbunov & Arita, 2002",species,,Aurantiosphecia,,murzini,,,Gorbunov_Arita_2002,"193,",transferred to Aurantiosphecia by Skowron Volponi (2020)
890,890,Aschistophleps murzini,"Gorbunov & Arita, 2002",species,,Aschistophleps,,murzini,,,Gorbunov_Arita_2002,"193,",transferred to Aurantiosphecia by Skowron Volponi (2020)
891,891,Aurantiosphecia piotrii,"Skowron Volponi, 2020",species,,Aurantiosphecia,,piotrii,,,Skowron_Volponi_2020,4,
892,892,Akaisphecia,"Gorbunov & Arita, 1995",genus,Akaisphecia,,,,,,Gorbunov_Arita_1995d,17,
893,893,Akaisphecia melanopuncta,"Gorbunov & Arita, 1995",species,,Akaisphecia,,melanopuncta,,,Gorbunov_Arita_1995d,19,
894,894,Callithia,"Le Cerf, 1916",genus,Callithia,,,,,,Le_Cerf_1916b,9,
895,895,Callithia oberthueri,"Le Cerf, 1916",species,,Callithia,,oberthueri,,,Le_Cerf_1916b,9,
896,896,Halictina,"Bartsch, 2016",genus,Halictina,,,,,,Bartsch_2016a,257,
897,898,Halictina andraenipennis,"(Walker, 1856)",species,,Halictina,,andraenipennis,,,Walker_1856,69,transferred to Halictina by Bartsch (2016)
898,898,Melittia andraenipennis,"Walker, 1856",species,,Melittia,,andraenipennis,,,Walker_1856,69,transferred to Halictina by Bartsch (2016)
899,899,Erismatica,"Meyrick, 1933",genus,Erismatica,,,,,,Meyrick_1933,415,transferred to Osminiini by Bartsch (2016)
900,901,Erismatica endopyra,"(Hampson, 1910)",species,,Erismatica,,endopyra,,,Hampson_1910a,151,transferred to Erismatica by Bartsch (2016)
901,901,Tinthia endopyra,"Hampson, 1910",species,,Tinthia,,endopyra,,,Hampson_1910a,151,transferred to Erismatica by Bartsch (2016)
902,902,Erismatica erythropis,"Meyrick, 1933",species,,Erismatica,,erythropis,,,Meyrick_1933,415,synonymized by Bartsch (2016)
903,903,Pseudomelittia,"Le Cerf, 1917",genus,Pseudomelittia,,,,,,Le_Cerf_1917,240,transferred to Osminiini by Bartsch (2016)
904,904,Pseudomelittia berlandi,"Le Cerf, 1917",species,,Pseudomelittia,,berlandi,,,Le_Cerf_1917,241,
905,905,Echidgnathia,"Hampson, 1919",genus,Echidgnathia,,,,,,Hampson_1919,97,
906,906,Echidgnathia khomasana,"de Freina, 2011",species,,Echidgnathia,,khomasana,,,DeFreina_2011a,212,
907,908,Echidgnathia vitrifasciata,"(Hampson, 1910)",species,,Echidgnathia,,vitrifasciata,,,Hampson_1910a,150,
908,908,Tinthia vitrifasciata,"Hampson, 1910",species,,Tinthia,,vitrifasciata,,,Hampson_1910a,150,
909,909,Melittiini,"Le Cerf, 1917",tribe,Melittiini,,,,,,Le_Cerf_1917,148,
910,910,Premelittia,"Le Cerf, 1916",genus,Premelittia,,,,,,Le_Cerf_1916b,9,"raised from synonymy with Melittia by Moreira, Gorbunov, Fochezato & Gonçalves (2019)"
911,911,Premelittia rufescens,"Le Cerf, 1916",species,,Premelittia,,rufescens,,,Le_Cerf_1916b,9,
912,912,Neosphecia,"Le Cerf, 1916",genus,Neosphecia,,,,,,Le_Cerf_1916b,9,"raised from synonymy with Melittia by Moreira, Gorbunov, Fochezato & Gonçalves (2019)"
913,913,Neosphecia cecidogena,"Moreira & Gorbunov, 2019",species,,Neosphecia,,cecidogena,,,Moreira_Gorbunov_Fochezato_Gonçalves_2019,47,
914,914,Neosphecia combusta,"Le Cerf, 1916",species,,Neosphecia,,combusta,,,Le_Cerf_1916b,9,
915,915,Melittina,"Le Cerf, 1917",genus,Melittina,,,,,,Le_Cerf_1917,239,"raised from synonymy with Melittia by Moreira, Gorbunov, Fochezato & Gonçalves (2019)"
916,916,Melittina nigra,"Le Cerf, 1917",species,,Melittina,,nigra,,,Le_Cerf_1917,239,
917,917,Eichlinia,"Gorbunov, 2020",genus,Eichlinia,,,,,,Gorbunov_2020c,277,
918,919,Eichlinia calabaza,"(Duckworth & Eichlin, 1973)",species,,Eichlinia,,calabaza,,,Duckworth_Eichlin_1973b,151,
919,919,Melittia calabaza,"Duckworth & Eichlin, 1973",species,,Melittia,,calabaza,,,Duckworth_Eichlin_1973b,151,
920,921,Eichlinia cucurbitae,"(Harris, 1828)",species,,Eichlinia,,cucurbitae,,,Harris_1828,33,
921,921,Aegeria cucurbitae,"Harris, 1828",species,,Aegeria,,cucurbitae,,,Harris_1828,33,
